,review,clear_review,predicted,candidat
108,NOUVELLE VIDÉO JOUEUR DU GRENIER  Une vidéo sur un légendaire jeu pourri en mode nowel  Daikatana Comme toujours votre partage nous aide grandement  Le RT est apprécié  Bonnes fêtes httpstcoU9JiG3oIY7 httpstcog9ujmtmhqT,nouvel vidéo joueur greni vidéo légendair jeu pourr mod nowel daikatan comm toujour partag aid grand rt appréci bon fêt httpstcou9jig3oiy7 httpstcog9ujmtmhqt,1,None
107,Un grand merci à PADG officiel pour sa participation ,grand merc padg officiel particip,1,None
106,httpstcohaWEecdDyb httpstcoU6yjTET7qn,httpstcohaweecddyb httpstcou6yjtet7qn,0,None
105,le concours nacon est terminé jvous filerai le nom du vainqueur dès que jaurai compris comment on fait o,concour nacon termin jvous fil nom vainqueur des jaur compr comment fait o,0,None
87,Hey  je serai à la soirée Touche Pas A Mon Mate 6e édition le 2801 à 20h pour un loup garou UHC sur Minecraft ca va être pathétique jai genre 10h de jeu sur Minecraft oscour  TPAMM  ca sera sur ma chaine twitch  OMENbyHP frAMD France httpstcosqVl2vMRTd,hey soir touch a mat 6e édit 2801 20h loup garou uhc minecraft ca va être pathet jai genr 10h jeu minecraft oscour tpamm ca chain twitch omenbyhp framd franc httpstcosqvl2vmrtd,0,None
88,eigol  je lai mp,eigol lai mp,0,None
89,Go stream pépère  gaming  montage lego amp discussion  avec un live sponso par HelloFreshBE FR mangerBouger utilisez le code HELLOJOUEUR pour bénéficier jusquà 80 de réduction sur vos 3 premières Box httpstcoKVbmfRE7GE httpstcoaqlneir0dt,go stream péper gaming montag lego amp discuss liv sponso hellofreshb fr mangerboug utilis cod hellojoueur bénéfici jusquà 80 réduct 3 premi box httpstcokvbmfre7g httpstcoaqlneir0dt,0,None
90,MarieCPalot bon anniv ,mariecpalot bon anniv,1,None
91,Jai toujours révé dêtre un influenceur Le jeu est fait pour moiJE DEVIENS YOUTUBER ça tourne mal  Youtubers Life 2 Ep1 httpstcoeptoeQb4bJ via YouTube,jai toujour rev dêtr influenceur jeu fait moij devien youtub ça tourn mal youtuber lif 2 ep1 httpstcoeptoeqb4bj vi youtub,0,None
92,Jadore lhumour méga cringe de Far cry 6 cest pas du tout du tout forcé je me force à faire des tweet positif de temps en temps httpstcoPL9EauGIPZ,jador lhumour meg cring far cry 6 cest tout tout forc forc fair tweet posit temp temp httpstcopl9eaugipz,0,None
93,KyuudenSW surtout que jai litterament vu chaque films et chaque séries de cet univers en plus davoir lu les livres qui parlent du lore des differentes races et planètes,kyuudensw surtout jai litt vu chaqu film chaqu ser cet univer plus davoir lu livr parlent lor different rac planet,1,None
94,Jirayalecochon non cest au gaz effectivement faut comparer en tout electrique sinon ca a pas vraiment de sens,jirayalecochon non cest gaz effect faut compar tout electr sinon ca a vrai sen,0,None
126,ya les 2 narratifs sur idol manager et le mod AGOT de CK3 que je creve denvie de faire mais le premier a sa trad FR perdue dans les limbes et le second avance pas ca rend fou,ya 2 narrat idol manag mod agot ck3 crev denv fair premi a trad fr perdu limb second avanc ca rend fou,0,None
95,UnaM1907 Jirayalecochon par mois,unam1907 jirayalecochon mois,0,None
97,un ptit coucou à tout les si JdG AiMe Pa C ForCéMeNt BiEn après ce grandiose épisode 3 haha,ptit coucou tout si jdg aim pa forc bien apres grandios épisod 3 hah,1,None
98,KenBogard Moi je règle ça en jetant une pompe au visage dhabitude ça marche,kenbogard regl ça jet pomp visag dhabitud ça march,0,None
99,vous croyez que jpeux vendre mon tweet contexte en NFT  ca dois valoir mass de fric,croi jpeux vendr tweet context nft ca dois valoir mass fric,0,None
100,Cest parti sur httpstcoNVLoWbse24  Viendez  On va parler de pleins de trucs  httpstcoGk5NgiBvj9,cest part httpstconvlowbse24 viend va parl plein truc httpstcogk5ngibvj9,0,None
101,quest ce quon semmerde avec Boba Fett dis donc,quest quon semmerd bob fet dis donc,0,None
102,Bonne année bandes de nazes  httpstcoxevOgTO7Se,bon anné band naz httpstcoxevogto7s,1,None
103,Benzaie tgwtg RoiLennon squaretune Hâte de la regarder en 360p sur mon portable pour rendre hommage à ton travail,benzai tgwtg roilennon squaretun hât regard 360p portabl rendr hommag travail,0,None
104,Gg samDM601 pour la manette Nacon Tu vas pouvoir ouvrir aussi bien que nous à hitman Garde tes dm ouverts  NaconFR httpstcojmoTSOvEhn,gg samdm601 manet nacon vas pouvoir ouvr auss bien hitman gard dm ouvert naconfr httpstcojmotsovehn,1,None
96,Jirayalecochon en decembre jetais à 88euros la,jirayalecochon decembr jet 88euros,0,None
86,mon dieu je chie sur lépoque quon vit cest incroyable httpstcoojjoKNg6Zf,dieu chi lépoqu quon vit cest incroi httpstcoojjokng6zf,0,None
127,MrAntoineDaniel TheRealStanLee le mec est revenu du paradis pour promouvoir les NFT cest un signe  ,mrantoinedaniel therealstanle mec revenu parad promouvoir nft cest sign,0,None
129,par le mec qui vous as fais gratter un cube pendant 1000ans avec comme récompense pour le vainqueur un truc quil na jamais eu httpstcokBXzf1yQba,mec fais gratt cub pend 1000an comm récompens vainqueur truc quil na jam httpstcokbxzf1yqb,0,None
152,NOUVEAU PAPY GRENIER  Un épisode consacré à un de mes premiers jeux sur Megadrive Street of rage  Avec un peu dautres jeux dedans  Le RT est comme dhab apprécié  Papy Grenier  STREET OF RAGE avec un peu de Final fight httpstcoFeKOe2FRd9 via YouTube,nouveau papy greni épisod consacr premi jeux megadr street of rag peu dautr jeux dedan rt comm dhab appréci papy greni street of rag peu final fight httpstcofekoe2frd9 vi youtub,0,None
153,les mecs ont validés lopé cest bon,mec valid lop cest bon,0,None
154,bon sinon je vous sort le papy grenier genre demain ou après demain,bon sinon sort papy greni genr demain apres demain,1,None
155,haha trop hate dessayer ca httpstcoIDHEqQaNRi,hah trop hat dessai ca httpstcoidheqqanr,0,None
156,jai maté les 2 clips mais je préfère ambiance skandal time time fais plus ambiance 98 que 2000cetait lavis que personne ne ma demandé,jai mat 2 clip préfer ambianc skandal tim tim fais plus ambianc 98 2000cet lav person demand,1,None
157,Cest parti pour lépisode final de la saison 1 de TableQuest sur httpstcoo6rHaTg1AJ  httpstcoFzfpYNRRzN,cest part lépisod final saison 1 tablequest httpstcoo6rhatg1aj httpstcofzfpynrrzn,0,None
158,Bon comme dhabitude ya un pb La vidéo est prête et en ligne mais la marque qui sponsorise la vidéo na pas eu le temps de vérifier la sponso Donc jai pas dautres choix que de décaler en attendant quils approuvent Au mieux lundi donc on verraBien relou httpstcoobBreVKuL7,bon comm dhabitud ya pb vidéo prêt lign marqu sponsoris vidéo na temp vérifi sponso donc jai dautr choix décal attend quil approuvent mieux lund donc verrabien relou httpstcoobbrevkul7,0,None
159,Amen cest enfin fini A demain si tout vas bien httpstco9mUtdrS77y,amen cest enfin fin a demain si tout vas bien httpstco9mutdrs77y,0,None
160,jai aucune ref mais arcane cest vraiment cool jusque là je mamuse a mater quand qqun dit son nom pour voir si cest un mec du jeu haha,jai aucun ref arcan cest vrai cool jusqu là mamus a mat quand qqun dit nom voir si cest mec jeu hah,0,None
161,Pour rappel ce samedi cest le final de TableQuest au Grand Rex  Jai acheté une nouvelle barbe pour loccasion  Ya des places dispo sur httpstcoSncw8K7pbo ,rappel samed cest final tablequest grand rex jai achet nouvel barb loccas ya plac dispo httpstcosncw8k7pbo,1,None
162,La série sur league of Legend ca passe si jai jamais touché au jeu ou jvais passer à côté de toute les réfs ,ser leagu of legend ca pass si jai jam touch jeu jvais pass côt tout ref,1,None
163,Et dans un autre registre  Nico Karim et Seb vous ont sorti dernièrement un autre NTSC croustillant plein dinfos sur Blow Out  NTSC Nouveau Truc Super Cool  EPISODE 02  BLOW OUT httpstco3En1tjJuPz via YouTube,autr registr nico karim seb sort derni autr ntsc croustill plein dinfos blow out ntsc nouveau truc sup cool episod 02 blow out httpstco3en1tjjupz vi youtub,0,None
164,Pour ceux qui lauraient loupés  La rediff du Quizz HARDCORE du grenier au Zevent  Saurez vous défier TPK httpstcoP7AjV37JeV via YouTube,ceux laur loup rediff quizz hardcor greni zevent saur défi tpk httpstcop7ajv37jev vi youtub,1,None
165,ce mec a courru partout dans la ville chercher des poissons panés un dimanche à 19h30 httpstcoOlrTwuxvhd,mec a courru partout vill cherch poisson pan dimanch 19h30 httpstcoolrtwuxvhd,0,None
166,Ivar59930153 Frederic cest que mon avis je conseille toujours aux gens daller voir les films mais moi je me suis vraiment ennuyé sur tout le milieu du film perso,ivar59930153 frederic cest avis conseil toujour gen dall voir film vrai ennui tout milieu film perso,0,None
167,Par contre bravo à Sardoche Lol pour son premier rôle au cinéma,contr bravo sardoch lol premi rôl cinem,1,None
168,TheEternals rah putain cétait interminable ce film Bonne chance pour pas vous endormir tellement on semmerde,theeternal rah putain cet intermin film bon chanc endorm tel semmerd,0,None
151,Au passage on a commencés à supprimer les vieilles sponsos de nos ancienne vidéos donc ne vous étonnez pas cest normal  la raison cest que cest évidemment des truc limités dans le temps pas de raison de le garder,passag a commenc supprim vieil sponsos ancien vidéos donc éton cest normal raison cest cest évident truc limit temp raison gard,0,None
150,season 2 when ,season 2 when,0,None
149,Vu le dernier Ghostbusters Jai passé un très bon moment Mais après faut reconnaitre que cest du gigantesque fan service,vu derni ghostbuster jai pass tres bon moment apres faut reconnaitr cest gigantesqu fan servic,1,None
148,des fois jai envie de relancer Cyberpunk juste pour lambiance du truc sans même jouer trop hâte dune version VR,fois jai envi relanc cyberpunk just lambianc truc san jou trop hât dun version vr,0,None
130,Benzaie tgwtg ce que jaime le plus chez toi cest ton objectivité,benzai tgwtg jaim plus chez cest object,0,None
131,Evidemment que cest évident mais je pouvais pas passer à coté Ces Jeux qui mont marqué  FINAL FANTASY VII httpstcoLQz4JZvnvl via YouTube httpstcoVZQDJr1Mon,evident cest évident pouv pass cot jeux mont marqu final fantasy vii httpstcolqz4jzvnvl vi youtub httpstcovzqdjr1mon,0,None
132,PuNkY YT Trop hâte de voir ce film,punky yt trop hât voir film,1,None
133,silentstars xyz Kayane Ah putain yes Je vais complètement me le refaire,silentstar xyz kayan ah putain ye vais complet refair,0,None
134,Kayane Attend attend ff7 remake le dlc sort sur PC donc le jeu de base aussi ,kayan attend attend ff7 remak dlc sort pc donc jeu bas auss,0,None
135,No fucking shit  httpstcogvEUKw4hRT,no fucking shit httpstcogveukw4hrt,0,None
136,hokitail ouais je viens de voir on gere ca demain,hokitail ouais vien voir ger ca demain,1,None
137,Ce soir à 20h15 sur twitch on se fait une soirée Hitman III avec Seb et NaconFR httpstcoaqlneir0dtOn tastera durant cette soirée la manette Nacon Revolution X  httpstcoDGnI03Nf4vYaura des lot à gagner aussi  soyez la tt à lheure  Nacon Ad,soir 20h15 twitch fait soir hitman iii seb naconfr httpstcoaqlneir0dton tast dur cet soir manet nacon revolu x httpstcodgni03nf4vyaur lot gagn auss tt lheur nacon ad,0,None
128,Ya un truc à faire contre les numéros au pif qui tappellent et raccrochent aussi sec Jen reçois 5 par jour cest insupportable,ya truc fair contr numéros pif tappellent raccrochent auss sec jen reçois 5 jour cest insupport,0,None
138,En direct sur prime pour parler de la meilleure décennie  httpstco5XTc0zyjIwMarieCPalot NormanGenius DonaldReignoux PrimeVideoFR httpstcoVi5oebBfhH,direct prim parl meilleur décen httpstco5xtc0zyjiwmariecpalot normangenius donaldreignoux primevideofr httpstcovi5oebbfhh,1,None
140,Vous vous souvenez de ce temps vénérable préinternet où on se jetais tous sur les magazines de la presse Jeux vidéo chaque mois  On a ressortis quelques vieux magazines pour se souvenir  httpstcofTRo79FfKZ via YouTube,souven temp véner préinternet où jet tous magazin press jeux vidéo chaqu mois a ressort quelqu vieux magazin souven httpstcoftro79ffkz vi youtub,1,None
141,KraynJV cest pas vraiment un compliment haha,kraynjv cest vrai compl hah,0,None
142,pourquoi il me fais ca soudainement ce jeu de mort la impossible darranger le pb en touchant lea résolution ou en relancant le jeu httpstcoYd5cEEA5La,pourquoi fais ca soudain jeu mort impossibl darrang pb touch le résolu relanc jeu httpstcoyd5ceea5l,1,None
143,On sort de Resident Evil hahahaha putain quel énorme étron mais on a vraiment énormément rigoléJen fais direct un club jdg quand cest dispo en video mdr,sort resident evil hahahah putain quel énorm étron a vrai énorm rigoléjen fais direct club jdg quand cest dispo video mdr,0,None
144,Meeea les pins disney club jen ai quelques uns encore,mee pin disney club jen quelqu un encor,0,None
145,Merci à tout ceux qui me souhaite mon anniversaire lt3  Ding lvl 39 road to 40,merc tout ceux souhait anniversair lt3 ding lvl 39 road to 40,1,None
146,pas ouf wheel of time pour linstant,ouf wheel of tim linst,0,None
147,Baghera  Jones httpstco4eCFTLL8RF,bagh jon httpstco4ecftll8rf,0,None
139,Demain à 18h30 je serai sur la chaine Prime vidéo  httpstco5XTc0zyjIwOn parlera des années 90 avec MarieCPalot NormanGenius DonaldReignoux PrimeVideoFR Viendez  httpstcoBxZEICWU7A,demain 18h30 chain prim vidéo httpstco5xtc0zyjiwon parl anné 90 mariecpalot normangenius donaldreignoux primevideofr viend httpstcobxzeicwu7,1,None
169,Et bien cétait très sympathique tout ça  Ca fais toujours plaisir de voir les copains  ZEVENT2021 httpstcobYMPjznm9I,bien cet tres sympath tout ça ca fais toujour plais voir copain zevent2021 httpstcobympjznm9,1,None
85,Sur une autre note jen profite pour rappeler quon a une page Tournage Joueur du grenier sur facebook sur laquelle on cherche régulièrement des figurants etou des acteurs pour nos tournages si vous êtes sur la pointe de bretagne ca nous intéresse pour la prochaine,autr not jen profit rappel quon a pag tournag joueur greni facebook laquel cherch réguli figur etou acteur tournag si point bretagn ca intéress prochain,0,None
83,la classe  httpstcoPuPgEw0b2O,class httpstcopupgew0b2o,0,None
23,classique armure de haut lvl pour perso féminin bien sur,classiqu armur haut lvl perso féminin bien,1,None
24,Javais zappé le twouitte  Ya 2 jours on sest relancé Guild Wars 2  Le moment de revoir mon magnifique perso ci dessous  je lai nommée Britney Snu Snu  vous pouvez essayer le jeu avec le lien  le jeu de base est gratos httpstcoJDtWY5tXeiad GW2EOD guildwars2 httpstco9zzFPXX9ST,jav zapp twouitt ya 2 jour sest relanc guild war 2 moment revoir magnif perso ci dessous lai nomm britney snu snu pouv essai jeu lien jeu bas gratos httpstcojdtwy5txeiad gw2eod guildwars2 httpstco9zzfpxx9st,1,None
25,Toujours la meilleure scène de baston de tous les batman confondus Jveux rien savoir httpstcoewxvIhF4JG,toujour meilleur scen baston tous batman confondus jveux rien savoir httpstcoewxvihf4jg,1,None
26,ZE BATMAN  Alors le rnouveau de DC après des années de galère  CRITIQUE  THE BATMAN Avec et Sans Spoilers httpstcoi3ksAk0SHu via YouTube,ze batman alor rnouveau dc apres anné galer critiqu the batman san spoiler httpstcoi3ksak0shu vi youtub,0,None
27,pour les gens qui demandent on est encore sur le montage du prochain JDG ca prend forcement du temps vu que cest une vidéo un peu grosse et que évidemment en janvier on reprend pas le taff le 1 janvier mais plus tard,gen demandent encor montag prochain jdg ca prend forc temp vu cest vidéo peu gross évident janvi reprend taff 1 janvi plus tard,0,None
28,httpstcoJER8jYmqGf,httpstcojer8jymqgf,0,None
29,jai eu ma réponse merci ,jai répons merc,1,None
30,Ce soir sur twitch une soirée avec du beau monde sur un ptit jeu pas trop connu qui sort là  httpstcovp8BRpH7Q4 jamais joué à un Souls de ma vie le rage quit est garanti PartenariatBandaiNamcoPlus dinformations sur le jeu juste ici  httpstcoVTS5ked3tR httpstcot66HWGae0i,soir twitch soir beau mond ptit jeu trop connu sort là httpstcovp8brph7q4 jam jou soul vi rag quit garant partenariatbandainamcoplus dinform jeu just ici httpstcovts5ked3tr httpstcot66hwgae0,1,None
31,Cest ça la guerre Des gens terrorisés qui se terrent chez eux sans comprendre Arrêtez de vous branler sur Poutine et son mythe du leader fort httpstcoX20EPNJcPJ,cest ça guerr gen terroris terrent chez san comprendr arrêt branl poutin myth lead fort httpstcox20epnjcpj,0,None
32,Mikie16000 exodelph DreawrenRuby Anno1425135 Gofroles je mintéresse pas à la politique jen ai vraiment rien à branler la dernière fois que jai voté cétait au 2eme tour en 2012 et cétait pour Hollande je crois Vous voulez tellement minventer une vie cen est ridicule,mikie16000 exodelph dreawrenruby anno1425135 gofrol mintéress polit jen vrai rien branl derni fois jai vot cet 2em tour 2012 cet holland crois voul tel minvent vi cen ridicul,0,None
33,Mikie16000 exodelph DreawrenRuby Anno1425135 Gofroles jai supprimé ma réponse parce que ca sert à rien de discuter vous êtes juste hypocritesjai  jamais lu son programme je vote en moyenne une fois tout les 10ans et javais juste lu  que yavais un emploi sans charge par entreprise et à cette époque on voulait embaucher karim,mikie16000 exodelph dreawrenruby anno1425135 gofrol jai supprim répons parc ca sert rien discut just hypocritesj jam lu programm vot moyen fois tout 10an jav just lu yav emploi san charg entrepris cet époqu voul embauch karim,0,None
34,Xo Trixy sympa la modélisation de lhomme de tautavel,xo trixy symp modélis lhomm tautavel,0,None
35,JuliaVerbeke Magnifique  ,juliaverbek magnif,1,None
36,haha genial avec une photo du vrai david goodenough qui fais une david goodenough httpstcoxe4gISkKjE httpstcoDM750HnKmF,hah genial photo vrai david goodenough fais david goodenough httpstcoxe4giskkj httpstcodm750hnkmf,1,None
37,Pataflexx évidemment que jvais le voir haha et félicitations de bosser sur un si gros projet ,pataflexx évident jvais voir hah félicit boss si gros projet,0,None
38,Lezgo pour une petite soirée tranquille sur FF14 avec Antoine  4 heure pour se remettre dans le jeu avec mon vrai perso de lépoque que jai récupéré pour loccasionDécouvrez  FFXIV avec ce lien  httpstcoO59gRIOaJUhttpstcoaqlneir0dt PublicitéParSquareEnix,lezgo petit soir tranquill ff14 antoin 4 heur remettr jeu vrai perso lépoqu jai récuper loccasiondécouvr ffxiv lien httpstcoo59grioajuhttpstcoaqlneir0dt publicitéparsquareenix,0,None
39,haha javais jamais vu cette fin alternative ou cest Hal qui a juste révé la série Breaking BadhttpstcoLgCFNbsK75,hah jav jam vu cet fin altern cest hal a just rev ser breaking badhttpstcolgcfnbsk75,0,None
22,httpstcod0veyZGi76,httpstcod0veyzgi76,0,None
21,ouais ya une faute ca génère des comms tavu,ouais ya faut ca géner comm tavu,0,None
20,On est avec seb en stream on va se lancer la démo de FF Strangers of Paradise  cest celui ou tout le monde dis CHAOOOOOOS adLe jeu ici  httpstcorHViYXSncZhttpstcoaqlneir0dt,seb stream va lanc démo ff stranger of paradis cest celui tout mond dis chaoooooos adle jeu ici httpstcorhviyxsnczhttpstcoaqlneir0dt,1,None
19,NOUVEAU JOUEUR DU GRENIER  Un épisode consacré au célèbre Castlevania et quelques autres jeux sur les vampires  Nhésitez pas à partager cest ce qui nous aide le plus  httpstcop1zAfMOc7V httpstcos8kYr3DIYl,nouveau joueur greni épisod consacr célebr castlevani quelqu autr jeux vampir nhésit partag cest aid plus httpstcop1zafmoc7v httpstcos8kyr3diyl,0,None
1,MrBboy45 Xo Trixy drôle un peu malgré nous haha,mrbboy45 xo trixy drôl peu malgr hah,0,None
2,hésitez pas à aller bourrer les dons chez SpeeDons  ya un goal à 10k balles pour la run de tintin en tibet en hard ce qui est la chose la plus proche de la torture que vous pourrez voir dans aller mater des snuff sur le dark web httpstco29m1Pv7acF,hésit aller bourr don chez speedon ya goal 10k ball run tintin tibet hard chos plus proch tortur pourr voir aller mat snuff dark web httpstco29m1pv7acf,0,None
3,MrAntoineDaniel httpstcoCKvYeFJzuM,mrantoinedaniel httpstcockvyefjzum,0,None
4,je vous lai peut être jamais dis mais jadore les jeux de gestions  ANNO 1800  pour la sortie du dernier DLC   Le live  sur  httpstco3jMWgjDoVu Tester le jeu gratuitement   httpstcoI0lpS0h3AQAd httpstcoAJa4uEkeHS,lai peut être jam dis jador jeux gestion anno 1800 sort derni dlc liv httpstco3jmwgjdovu test jeu gratuit httpstcoi0lps0h3aqad httpstcoaja4uekeh,1,None
5,On se lance un petit FF14 après cette nuit de patch  Stream pépère où on sera rejoint par Baghera  Jones et HortyUnderscore  Le live  sur  httpstco3jMWgjDoVu Tester le jeu gratuitement   httpstcowUkUQBtG0g httpstco2vNk1aRegH,lanc pet ff14 apres cet nuit patch stream péper où rejoint bagh jon hortyunderscor liv httpstco3jmwgjdovu test jeu gratuit httpstcowukuqbtg0g httpstco2vnk1aregh,0,None
6,DragonPaint24 Seb du Grenier classe ,dragonpaint24 seb greni class,0,None
7,Et tiens en attendant allez voir notre vidéo de présentation de notre nouvelle salle dans nos locaux  Moultes opés spé sont passés dedans pour payer tout ça  et on a hâte de pouvoir bientot commencer à y faire des trucs  httpstcofoUlbrj6hl,tien attend allez voir vidéo présent nouvel sall local moult opé spé pass dedan pai tout ça a hât pouvoir bientot commenc fair truc httpstcofoulbrj6hl,0,None
8,jai hésite à lancer un live twitch passionnant sur Democracy 4 ou Geopolitical Simulator pour un débat sain et éclairé avec le chat Mais finalement jvais plutot aller regarder la zlan on se revoit demain,jai hésit lanc liv twitch passion democracy 4 geopolitical simulator débat sain éclair chat final jvais plutot aller regard zlan revoit demain,0,None
40,le coté je fais un truc nul en me moquant des truc nuls et je critique hollywood ca devient un genre en soit presque on dirais O httpstcoZZHgVX5JyU,cot fais truc nul moqu truc nul critiqu hollywood ca devient genr presqu dir o httpstcozzhgvx5jyu,0,None
9,je regarde Moonfall cest incroyable hahaha Roland emmerich il en a plus rien a foutre,regard moonfall cest incroi hahah roland emmerich a plus rien a foutr,0,None
11,A 20h00 on se lance sur twitch le LÉGO STAR WARS La saga Skywalker On va refaire le monde la postlogie en fait et nerder le lore  Si vous voulez en savoir plus sur la Xbox S et le jeu gt  httpstcoIe6NzDSEOd ad LEGOStarWarsGame XboxFR httpstcowSRasjiwhp,a 20h00 lanc twitch légo star war sag skywalk va refair mond postlog fait nerd lor si voul savoir plus xbox jeu gt httpstcoie6nzdseod ad legostarwarsgam xboxfr httpstcowsrasjiwhp,1,None
12,félicitations aux survivants du stream de cet aprem Noubliez pas le rappel de cringe dans 8 mois d,félicit surviv stream cet aprem noubl rappel cring 8 mois,0,None
13,Rappelez vous que faire la blague sur les Youtubeurs qui font la blague jarrête Youtube en 2022 cest aussi démodé que la blague jarrête Youtube elle même  httpstcoUKtdHV1BHY,rappel fair blagu youtubeur font blagu jarrêt youtub 2022 cest auss démod blagu jarrêt youtub httpstcouktdhv1bhy,0,None
14,Dur dêtre objectif sur Sonic 2 le fan sera récompensé par du fan service un peu parsemé et de rares moments sympathiques  cest quand même bien plus orienté film pour gamins que le premier avec des moment de cringe vraiment intense quil va falloir surmonter,dur dêtr object sonic 2 fan récompens fan servic peu parsem rar moment sympath cest quand bien plus orient film gamin premi moment cring vrai intens quil va falloir surmont,1,None
15,MarieCPalot lhépar et la contrex ont presque le meme gout,mariecpalot lhépar contrex presqu mem gout,0,None
16,je publie pas forcement toute les vidéos mais yen a toujours 2 par semaine  Aujourdhui je vous parle du JDR et de limportance que ca a eu pour moi  Pourquoi vous devriez tous faire du Jeu de Rôle  httpstcoPKar52v7cU via YouTube,publ forc tout vidéos yen a toujour 2 semain aujourdhui parl jdr limport ca a pourquoi devr tous fair jeu rôl httpstcopkar52v7cu vi youtub,1,None
17,dailleurs pour lanecdote cest les developpeurs de Mortal Kombat  Sub Zero mythology O,dailleur lanecdot cest developpeur mortal kombat sub zero mythology o,0,None
18,Ok on dirait quils font le Red Dead Redemption de Harry potter mais je me dis cest presque trop fou pour etre réel HogwartsLegacy,ok dir quil font red dead redempt harry pott dis cest presqu trop fou etre réel hogwartslegacy,0,None
